|||FirstProcess||OTHER|0|||PSTests.Sequential|PowerShellHostingScenario|TestStartJobThrowTerminatingException||METHOD|1|
|System.Management.Automation.Language|Tokenizer|GetLBracket||METHOD|1|FULL HAVOC||System.Management.Automation.Language|Tokenizer|GetChar||METHOD|1|
|System.Management.Automation.Language|Tokenizer|GetLBracket||METHOD|1|FULL HAVOC||System.Management.Automation.Language|CharExtensions|IsWhitespace|char c|METHOD|1|
|System.Management.Automation.Language|Tokenizer|GetLBracket||METHOD|1|FULL HAVOC||System.Management.Automation.Language|Tokenizer|UngetChar||METHOD|1|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|NextToken||METHOD|2|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Token|get_Kind||METHOD|6|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Token|get_Text||METHOD|1|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|UngetToken|System.Management.Automation.Language.Token token|METHOD|2|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|SetTokenizerMode|System.Management.Automation.Language.TokenizerMode mode|METHOD|2|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|ExpressionRule|bool endNumberOnTernaryOpChars|METHOD|1|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|PeekToken||METHOD|2|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|TokenTraits|HasTrait|System.Management.Automation.Language.TokenKind kind,System.Management.Automation.Language.TokenFlags flag|METHOD|1|
|System.Management.Automation.Language|Parser|StatementRule||METHOD|2|FULL HAVOC||System.Management.Automation.Language|Parser|PipelineRule|System.Management.Automation.Language.ExpressionAst startExpression,bool allowBackground|METHOD|1|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation|ScriptBlock|IsUsingTypes|System.Management.Automation.Language.Ast ast|METHOD|7|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation|ScriptBlock|IsDynamicKeyword|System.Management.Automation.Language.Ast ast|METHOD|7|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation.Language|PSVariableAssignmentBinder|PSObjectStringRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|3|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation.Language|PSVariableAssignmentBinder|ObjectRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|32|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation.Language|PSVariableAssignmentBinder|IntRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|6|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation.Language|PSVariableAssignmentBinder|EnumRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|4|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation.Language|PSVariableAssignmentBinder|BoolRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|8|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation|MutableTuple|||PROPERTY|1|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation|MutableTuple|ctor||METHOD|5|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|PSObjectStringRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|ArrayRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|StringRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|System|Func|Invoke|System.Management.Automation.Language.Ast arg|METHOD|79|FULL HAVOC||System.Management.Automation.Language|PSEnumerableBinder|NotEnumerableRule|System.Runtime.CompilerServices.CallSite site,object obj|METHOD|1|
|PSTests|CustomAssert|Throws|System.Func<object> testCode|METHOD|1|FULL HAVOC||System.Management.Automation|PowerShell|Invoke||METHOD|1|
|System.Collections.Concurrent|ConcurrentDictionary|GetOrAdd|System.Management.Automation.Configuration.ConfigScope key,System.Func<System.Management.Automation.Configuration.ConfigScope, System.Collections.Concurrent.ConcurrentDictionary<string, System.Management.Automation.Configuration.PolicyBase>> valueFactory|METHOD|509|FULL HAVOC||System.Management.Automation|Utils|GetPolicySettingFromGPOImpl|System.Management.Automation.Configuration.ConfigScope scope|METHOD|4|
|System.Collections.Concurrent|ConcurrentDictionary|GetOrAdd|System.Management.Automation.Configuration.ConfigScope key,System.Func<System.Management.Automation.Configuration.ConfigScope, System.Collections.Concurrent.ConcurrentDictionary<string, System.Management.Automation.Configuration.PolicyBase>> valueFactory|METHOD|509|FULL HAVOC||System.Management.Automation.Configuration|PowerShellConfig|GetPowerShellPolicies|System.Management.Automation.Configuration.ConfigScope scope|METHOD|2|
|System.Collections.Concurrent|ConcurrentDictionary|GetOrAdd|System.Management.Automation.Configuration.ConfigScope key,System.Func<System.Management.Automation.Configuration.ConfigScope, System.Collections.Concurrent.ConcurrentDictionary<string, System.Management.Automation.Configuration.PolicyBase>> valueFactory|METHOD|509|FULL HAVOC||System.Management.Automation.Language|ExpressionExtensions|Cast|System.Linq.Expressions.Expression expr,System.Type type|METHOD|1|
|System.Collections.Concurrent|ConcurrentDictionary|GetOrAdd|System.Management.Automation.Configuration.ConfigScope key,System.Func<System.Management.Automation.Configuration.ConfigScope, System.Collections.Concurrent.ConcurrentDictionary<string, System.Management.Automation.Configuration.PolicyBase>> valueFactory|METHOD|509|FULL HAVOC||System.Management.Automation|PSMemberInfoInternalCollection|ctor|int capacity|METHOD|257|
|System.Collections.Concurrent|ConcurrentDictionary|GetOrAdd|System.Management.Automation.Configuration.ConfigScope key,System.Func<System.Management.Automation.Configuration.ConfigScope, System.Collections.Concurrent.ConcurrentDictionary<string, System.Management.Automation.Configuration.PolicyBase>> valueFactory|METHOD|509|FULL HAVOC||System.Management.Automation.Language|KeyComparer|GetHashCode|System.Tuple<System.Management.Automation.Language.ITypeName, System.Management.Automation.Language.TypeResolutionState> obj|METHOD|1|
|System.Collections.Generic|IEnumerable|MoveNext||PROPERTY|0|||System.Management.Automation.Runspaces|InitialSessionStateEntryCollection|SystemCollectionsGenericIEnumerable<T>GetEnumerator||METHOD|22|
|System.Collections.Generic|IEnumerable|MoveNext||PROPERTY|0|||System.Management.Automation|SessionStateScopeEnumerator|SystemCollectionsGenericIEnumerable<SystemManagementAutomationSessionStateScope>GetEnumerator||METHOD|10|
|System.Collections.Generic|IEnumerable|MoveNext||PROPERTY|0|||System.Management.Automation|SessionStateScopeEnumerator|MoveNext||METHOD|11|
|System.Collections.Generic|IEnumerable|MoveNext||PROPERTY|0|||System.Management.Automation|SessionStateScopeEnumerator|SystemCollectionsGenericIEnumerator<SystemManagementAutomationSessionStateScope>get_Current||METHOD|10|
|||QUERY||OTHER|0|||System.Management.Automation|CmdletAttribute|ctor|string verbName,string nounName|METHOD|270|
|||QUERY||OTHER|0|||System.Management.Automation|CmdletCommonMetadataAttribute|set_ConfirmImpact|System.Management.Automation.ConfirmImpact value|METHOD|18|
|||QUERY||OTHER|0|||System.Management.Automation.Provider|CmdletProviderAttribute|ctor|string providerName,System.Management.Automation.Provider.ProviderCapabilities providerCapabilities|METHOD|8|
|||QUERY||OTHER|0|||System.Management.Automation|AliasAttribute|ctor|string[] aliasNames|METHOD|7|
|||QUERY||OTHER|0|||System.Management.Automation|CmdletCommonMetadataAttribute|set_SupportsTransactions|bool value|METHOD|37|
|System.Management.Automation.Runspaces|InitialSessionStateEntryCollection|Item||PROPERTY|35|FULL HAVOC||System.Management.Automation.Runspaces|InitialSessionStateEntryCollection|get_Item|string name|METHOD|35|
|System|Lazy|get_Value||METHOD|1|FULL HAVOC||System.Management.Automation|Utils|GetPolicySetting|System.Management.Automation.Configuration.ConfigScope[] preferenceOrder|METHOD|1|
