|||FirstProcess||OTHER|0|
|System.Management.Automation|MshLog|LogEngineLifecycleEvent|System.Management.Automation.ExecutionContext executionContext,System.Management.Automation.EngineState engineState|METHOD|1|FULL HAVOC
|System|String|IsNullOrEmpty|string? value|METHOD|2|Null.{}.{R;P}.{}.{}<EOF>
|System.Management.Automation|ValidateRangeAttribute|ctor|object minRange,object maxRange|METHOD|1|FULL HAVOC
|System.Management.Automation|PSVariable|ctor|string name,object value,System.Management.Automation.ScopedItemOptions options,System.Collections.ObjectModel.Collection<System.Attribute> attributes|METHOD|1|FULL HAVOC
|System.Management.Automation|SessionStateInternal|SetVariable|System.Management.Automation.PSVariable variable,bool force,System.Management.Automation.CommandOrigin origin|METHOD|1|FULL HAVOC
|System.Management.Automation|JobRepository|ctor||METHOD|1|FULL HAVOC
|System.Management.Automation|JobManager|ctor||METHOD|1|FULL HAVOC
|System.Management.Automation|RunspaceRepository|ctor||METHOD|1|FULL HAVOC
|System.Management.Automation|SessionStateInternal|InitializeFixedVariables||METHOD|1|FULL HAVOC
|System.Threading|ManualResetEventSlim|Set||METHOD|1|FULL HAVOC
|System.Management.Automation.Runspaces|InitialSessionState|BindRunspace|System.Management.Automation.Runspaces.Runspace initializedRunspace,System.Management.Automation.PSTraceSource runspaceInitTracer|METHOD|1|FULL HAVOC
|System.Management.Automation|PSEventArgs|ctor|System.Management.Automation.Runspaces.Runspace args|METHOD|1|FULL HAVOC
|System.Management.Automation|AmsiUtils|CloseSession||METHOD|1|FULL HAVOC
|System.Threading|ManualResetEvent|ctor|bool initialState|METHOD|1|FULL HAVOC
|System|Nullable|.ctor||PROPERTY|1|FULL HAVOC
|System.Threading|Thread|ctor|System.Threading.ThreadStart start,int maxStackSize|METHOD|1|FULL HAVOC
|System.Threading|Thread|Start||METHOD|1|FULL HAVOC
|System.Threading|WaitHandle|WaitOne||METHOD|1|FULL HAVOC
|System.Collections.Generic|Queue|Dequeue||METHOD|1|FULL HAVOC
|System|EventHandler|Invoke|object? sender,System.Management.Automation.Runspaces.PipelineStateEventArgs e|METHOD|1|FULL HAVOC
|System.Management.Automation.Runspaces|Pipeline|Dispose||METHOD|1|FULL HAVOC
|PSTests|CustomAssert|IsType|object object|METHOD|1|FULL HAVOC
|PSTests|CustomAssert|Equal|string expected,string actual|METHOD|1|FULL HAVOC
